Original_Text,Final_Curated_Terms,Final_Curated_Terms_With_Confidence,Final_Curated_Terms_Detailed
"Creates a new layer with specified properties for drawing organization.","layer | drawing | properties | creates | organization | new layer | drawing organization | layer properties","layer (0.920) | drawing (0.880) | properties (0.750) | creates (0.690) | organization (0.720) | new layer (0.890) | drawing organization (0.850) | layer properties (0.910)","[{""term"": ""layer"", ""confidence"": 0.92, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""CAD drawing organization""}, {""term"": ""drawing"", ""confidence"": 0.88, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Technical drawing""}, {""term"": ""properties"", ""confidence"": 0.75, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Object attributes""}]"
"Enables mesh smoothing for better surface quality in 3D models.","mesh | smoothing | surface | quality | models | 3D models | mesh smoothing | surface quality","mesh (0.950) | smoothing (0.890) | surface (0.830) | quality (0.770) | models (0.720) | 3D models (0.880) | mesh smoothing (0.940) | surface quality (0.860)","[{""term"": ""mesh"", ""confidence"": 0.95, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""3D modeling geometry""}, {""term"": ""smoothing"", ""confidence"": 0.89, ""methods"": [""keybert""], ""pos_tags"": [""VERB""], ""context"": ""Surface refinement""}, {""term"": ""3D models"", ""confidence"": 0.88, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Three-dimensional objects""}]"
"Specifies the acad block of the external bom of the part reference.","acad | bom | block | reference | part | acad block | external bom | part reference | bom part | specifies","acad (0.870) | bom (0.825) | block (0.765) | reference (0.810) | part (0.730) | acad block (0.810) | external bom (0.870) | part reference (0.870) | bom part (0.430) | specifies (0.940)","[{""term"": ""acad"", ""confidence"": 0.87, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""CAD software terminology""}, {""term"": ""bom"", ""confidence"": 0.825, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Bill of Materials""}, {""term"": ""block"", ""confidence"": 0.765, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""CAD object group""}]"
"Applies material properties to selected objects in the scene.","material | properties | objects | scene | applies | material properties | selected objects","material (0.920) | properties (0.850) | objects (0.780) | scene (0.740) | applies (0.680) | material properties (0.910) | selected objects (0.820)","[{""term"": ""material"", ""confidence"": 0.92, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Surface appearance""}, {""term"": ""properties"", ""confidence"": 0.85, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Object attributes""}, {""term"": ""scene"", ""confidence"": 0.74, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""3D environment""}]"
"Renders the animation with specified quality settings and output format.","renders | animation | quality | settings | output | format | quality settings | output format","renders (0.880) | animation (0.920) | quality (0.770) | settings (0.750) | output (0.730) | format (0.710) | quality settings (0.840) | output format (0.790)","[{""term"": ""renders"", ""confidence"": 0.88, ""methods"": [""keybert""], ""pos_tags"": [""VERB""], ""context"": ""Image generation""}, {""term"": ""animation"", ""confidence"": 0.92, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Motion graphics""}, {""term"": ""quality settings"", ""confidence"": 0.84, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Render parameters""}]"
"Use the layer properties panel to modify drawing elements and their attributes.","layer | properties | drawing | elements | attributes | layer properties | drawing elements","layer (0.930) | properties (0.880) | drawing (0.860) | elements (0.740) | attributes (0.720) | layer properties (0.920) | drawing elements (0.850)","[{""term"": ""layer"", ""confidence"": 0.93, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""CAD layer management""}, {""term"": ""properties"", ""confidence"": 0.88, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Element properties""}, {""term"": ""drawing"", ""confidence"": 0.86, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""CAD drawing""}]"
"The mesh surface requires smoothing to improve the visual quality of the 3D model.","mesh | surface | smoothing | quality | model | mesh surface | 3D model | visual quality","mesh (0.940) | surface (0.890) | smoothing (0.870) | quality (0.760) | model (0.730) | mesh surface (0.930) | 3D model (0.880) | visual quality (0.840)","[{""term"": ""mesh"", ""confidence"": 0.94, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""3D mesh geometry""}, {""term"": ""surface"", ""confidence"": 0.89, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Surface geometry""}, {""term"": ""smoothing"", ""confidence"": 0.87, ""methods"": [""keybert""], ""pos_tags"": [""VERB""], ""context"": ""Mesh smoothing""}]"
"Apply material properties to the selected objects in your 3D scene for realistic rendering.","material | properties | objects | scene | rendering | material properties | selected objects | 3D scene","material (0.930) | properties (0.890) | objects (0.820) | scene (0.780) | rendering (0.850) | material properties (0.920) | selected objects (0.860) | 3D scene (0.840)","[{""term"": ""material"", ""confidence"": 0.93, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Material settings""}, {""term"": ""properties"", ""confidence"": 0.89, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Material properties""}, {""term"": ""objects"", ""confidence"": 0.82, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""3D objects""}]"
"Configure the animation quality settings and output format for the final render.","animation | quality | settings | output | format | render | quality settings | output format","animation (0.910) | quality (0.850) | settings (0.830) | output (0.780) | format (0.750) | render (0.870) | quality settings (0.880) | output format (0.840)","[{""term"": ""animation"", ""confidence"": 0.91, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Animation rendering""}, {""term"": ""quality"", ""confidence"": 0.85, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Render quality""}, {""term"": ""settings"", ""confidence"": 0.83, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Configuration settings""}]"
"Edit the layer properties to change drawing organization and display settings.","layer | properties | drawing | organization | display | settings | layer properties | drawing organization","layer (0.925) | properties (0.870) | drawing (0.850) | organization (0.730) | display (0.710) | settings (0.780) | layer properties (0.910) | drawing organization (0.860)","[{""term"": ""layer"", ""confidence"": 0.925, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Layer management""}, {""term"": ""properties"", ""confidence"": 0.87, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Layer properties""}, {""term"": ""drawing"", ""confidence"": 0.85, ""methods"": [""keybert""], ""pos_tags"": [""NOUN""], ""context"": ""Technical drawing""}]"
